Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Friday,14:30-15:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Tutorial,DSAI,2.0,
Friday,14:30-15:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Tutorial,ECE,2.0,
Friday,14:30-15:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Tutorial,CSE,2.0,
Friday,14:30-15:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Tutorial,DSAI,2.0,
Friday,14:30-15:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Tutorial,ECE,2.0,
Friday,14:30-15:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Tutorial,CSE,2.0,
Friday,14:30-15:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Tutorial,DSAI,2.0,
Friday,14:30-15:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Tutorial,ECE,2.0,
Friday,14:30-15:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Tutorial,CSE,2.0,
Friday,14:30-15:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Tutorial,DSAI,2.0,
Friday,14:30-15:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Tutorial,ECE,2.0,
Friday,14:30-15:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Tutorial,CSE,2.0,
Friday,18:00-19:00,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI,2.0,
Friday,18:00-19:00,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE,2.0,
Friday,18:00-19:00,C203,MA163,Linear Algebra,Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee,Tutorial,CSE A,2.0,
Friday,18:00-19:00,C204,MA163,Linear Algebra,Dr. Sibasankar Padhy / Dr. Somen Bhattacharjee,Tutorial,CSE B,2.0,
