Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Thursday,09:00-10:00,C204,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Thursday,09:00-10:00,C206,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Thursday,10:00-11:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C003,DS356,Medical Image Analysis,Dr. Girish G N,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Tutorial,ECE,6.0,
Thursday,10:00-11:00,C204,HS204,Economics,Dr. Anushree Kini,Tutorial,ECE,4.0,
Thursday,14:30-15:30,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Thursday,14:30-15:30,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Thursday,17:00-18:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE,4.0,
Thursday,18:00-19:00,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Thursday,18:00-19:00,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Thursday,18:00-19:00,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Thursday,18:00-19:00,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,ECE,2.0,
Thursday,18:00-19:00,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,ECE,2.0,
Thursday,18:00-19:00,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,ECE,2.0,
Friday,08:00-09:00,C101,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Friday,08:00-09:00,C302,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),Lecture,ECE,6.0,
Friday,08:00-09:00,C303,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Lecture,ECE,4.0,
Friday,09:00-10:00,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Lecture,ECE,6.0,
Friday,09:00-10:00,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Lecture,ECE,6.0,
Friday,09:00-10:00,C004,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE,6.0,
Friday,09:00-10:00,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Lecture,ECE,6.0,
Friday,09:00-10:00,C202,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,ECE,4.0,
Friday,09:00-10:00,C203,EC162,Network Analysis,Dr. Sibasankar Padhy,Tutorial,ECE,2.0,
Friday,14:30-15:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Tutorial,ECE,2.0,
Friday,14:30-15:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Tutorial,ECE,2.0,
Friday,14:30-15:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Tutorial,ECE,2.0,
Friday,14:30-15:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Tutorial,ECE,2.0,
Friday,14:30-15:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Tutorial,ECE,2.0,
Friday,14:30-15:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Tutorial,ECE,2.0,
Friday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Friday,14:30-15:30,C204,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Friday,14:30-15:30,C206,DS306,Financial Data Analytics,Dr. Utkarsh Khaire,Lecture,ECE,6.0,
Friday,15:30-16:30,C101,EC310,Embedded Systems Design,Dr. Prakash Pawar,Tutorial,ECE,4.0,
Friday,17:00-18:00,C101,HS204,Economics,Dr. Anushree Kini,Lecture,ECE,4.0,
Friday,18:00-19:00,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE,2.0,
Friday,18:00-19:00,C102,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
Friday,18:00-19:00,C104,EC307,Wireless Communication,Dr. Rajib Sharma / Dr. Rao (lab),Lecture,ECE,6.0,
